X,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,R4_short,M1_G-D short,M1_G-S short,M1_D-S short,M1-open,R1_redundant_short,R1_redundant_open,R3_redundant_short,R3_redundant_open,R4_redundant_open,R4_redundant_short,M1_redundant_G-D short,M1_redundant_G-S short,M1_redundant_D-S short,M1_redundant_Transistor-open,M1_switchG-D short,M1_switchD-S short,M1_switch-open
1.3000000000000003,0.659957643276462,0.6608163357333816,0.6692019705802872,0.6673525029860391,0.6883324748843872,0.7147356217846441,0.6594595569764902,0.6830733420191006,0.7160471795520211,0.6654532223466983,0.6746875883395576,0.6673525029860391,0.661454506509818,0.6746936637660196,0.659957643276462,0.6608163357333816,0.6692019705802872,0.6673525029860391,0.7985338108013679,0.7589575601583372,1.1218411993527624,0.6830733420191006,0.7160471795520211,0.9371734855224563,1.009720446559686
1.3010000000000002,0.6605491258947037,0.6614085942266494,0.669801745947089,0.6679506191810911,0.6889493830745725,0.7153761946385988,0.660050140647499,0.6836855862665402,0.7166889089559294,0.6660496019268485,0.6752923129226475,0.6679506191810911,0.662047301701832,0.6752983866723709,0.6605491258947037,0.6614085942266494,0.669801745947089,0.6679506191810911,0.799249468035021,0.7596377129051057,1.1228467189036264,0.6836855862665402,0.7166889089559294,0.938013455326109,1.010625358489274
1.302,0.6611406088846713,0.6620008530847076,0.6704015216921827,0.6685487357511206,0.6895662916521428,0.7160167678948693,0.660640724668116,0.6842978309024111,0.7173306387625971,0.6666459818791307,0.675897037887709,0.6685487357511206,0.6626400972567448,0.6759031099602113,0.6611406088846713,0.6620008530847076,0.6704015216921827,0.6685487357511206,0.7999651257174227,0.7603178660762085,1.123852239089889,0.6842978309024111,0.7173306387625971,0.9388534256593124,1.011530270985627
1.303,0.661732092243241,0.662593112304483,0.6710012978123897,0.6691468526929751,0.690183200613842,0.7166573415500748,0.6612313090353843,0.6849100759234527,0.7179723689686391,0.6672423622004148,0.6765017632315341,0.6691468526929751,0.6632328931714963,0.6765078336263363,0.661732092243241,0.662593112304483,0.6710012978123897,0.6691468526929751,0.8006807838448006,0.7609980196680761,1.124857759906213,0.6849100759234527,0.7179723689686391,0.9396933965176171,1.0124351840439816
1.3040000000000003,0.6623235759673152,0.6631853718829284,0.6716010743045597,0.6697449700035285,0.6908001099564416,0.7172979156008618,0.6618218937463729,0.6855223213264312,0.7186140995706987,0.6678387428875975,0.6771064889509409,0.6697449700035285,0.6638256894430533,0.6771125576675678,0.6623235759673152,0.6631853718829284,0.6716010743045597,0.6697449700035285,0.8013964424134147,0.7616781736771702,1.1258632813473075,0.6855223213264312,0.7186140995706987,0.9405333678966118,1.013340097659612
1.3050000000000002,0.6629150600538216,0.6637776318170213,0.6722008511655668,0.6703430876796812,0.6914170196767397,0.7179384900439053,0.6624124787981742,0.6861345671081395,0.7192558305654468,0.6684351239376004,0.6777112150427744,0.6703430876796812,0.6644184860684074,0.6777172820807542,0.6629150600538216,0.6637776318170213,0.6722008511655668,0.6703430876796812,0.8021121014195546,0.7623583280999805,1.1268688034079226,0.6861345671081395,0.7192558305654468,0.9413733397919212,1.0142450118278328
1.306,0.6635065444997144,0.6643698921037656,0.6728006283923132,0.6709412057183595,0.6920339297715622,0.7185790648759086,0.6630030641879066,0.6867468132653987,0.7198975619495829,0.6690315053473721,0.6783159415039064,0.6709412057183595,0.6650112830445754,0.6783220068627708,0.6635065444997144,0.6643698921037656,0.6728006283923132,0.6709412057183595,0.802827760859543,0.7630384829330279,1.127874326082855,0.6867468132653987,0.7198975619495829,0.9422133121992075,1.0151499265439983
1.307,0.664098029301973,0.6649621527401905,0.6734004059817261,0.6715393241165158,0.6926508402377608,0.7192196400936025,0.6635936499127119,0.6873590597950553,0.720539293719834,0.6696278871138867,0.6789206683312347,0.6715393241165158,0.6656040803686,0.6789267320105191,0.664098029301973,0.6649621527401905,0.6734004059817261,0.6715393241165158,0.803543420729733,0.7637186381728618,1.1288798493669456,0.6873590597950553,0.720539293719834,0.9430532851141696,1.0160548418035014
1.3080000000000003,0.6646895144576028,0.66555441372335,0.6740001839307591,0.6721374428711283,0.6932677510722144,0.7198602156937455,0.6641842359697567,0.6879713066939833,0.7211810258729551,0.6702242692341435,0.6795253955216835,0.6721374428711283,0.6661968780375486,0.6795314575209266,0.6646895144576028,0.66555441372335,0.6740001839307591,0.6721374428711283,0.8042590810265079,0.764398793816061,1.129885373255077,0.6879713066939833,0.7211810258729551,0.9438932585325424,1.0169597576017753
1.3090000000000002,0.6652809999636331,0.6661466750503223,0.6745999622363906,0.6727355619791995,0.6938846622718274,0.7205007916731225,0.664774822356231,0.6885835539590819,0.721822758405727,0.6708206517051668,0.6801301230722021,0.6727355619791995,0.6667896760485124,0.680136183390946,0.6652809999636331,0.6661466750503223,0.6745999622363906,0.6727355619791995,0.8049747417462815,0.7650789498592322,1.1308908977421754,0.6885835539590819,0.721822758405727,0.9447332324500957,1.017864673934289
