X,R1_open Y,R1_short Y,R2_open Y,R2_short Y,R3_open Y,R3_short Y,M1_G-S_short Y,M1_open Y,M1_G-D_short Y,M1_D-S_short Y,M2_D-S_short Y,M2_G-D_short Y,M2_G-S_short Y,M2_open Y,M3_open Y,M3_D-S_short Y,M3_G-D_short Y,M3_G-S_short Y
-1.58,-0.83907,0.60646998283014,0.99992,-0.83907,-31.482144900045263,0.9999999999999993,0.5498955894477433,0.60646998283014,-0.8572395135901253,-0.83907,0.99992,-0.7731270936736365,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999988,0.99992
-1.579,-0.83907,0.606469982841007,0.99992,-0.83907,-31.48214490004584,0.9999999999999993,0.5499230715462886,0.606469982841007,-0.8572386997704796,-0.83907,0.99992,-0.7731269187843328,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999988,0.99992
-1.578,-0.83907,0.6064699828518739,0.99992,-0.83907,-31.48214490004642,0.9999999999999993,0.5499505512874237,0.6064699828518739,-0.8572378808756469,-0.83907,0.99992,-0.7731267434721797,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999988,0.99992
-1.577,-0.83907,0.606469982862741,0.99992,-0.83907,-31.482144900047007,0.9999999999999993,0.5499780286714042,0.606469982862741,-0.8572370568739826,-0.83907,0.99992,-0.7731265677361643,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999987,0.99992
-1.576,-0.83907,0.606469982873608,0.99992,-0.83907,-31.482144900047604,0.9999999999999993,0.5500055036983724,0.606469982873608,-0.8572362277336449,-0.83907,0.99992,-0.773126391575271,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999987,0.99992
-1.575,-0.83907,0.606469982884475,0.99992,-0.83907,-31.48214490004821,0.9999999999999993,0.5500329763686125,0.606469982884475,-0.8572353934225939,-0.83907,0.99992,-0.7731262149884822,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999987,0.99992
-1.574,-0.83907,0.6064699828953419,0.99992,-0.83907,-31.48214490004882,0.9999999999999993,0.5500604466822097,0.6064699828953419,-0.8572345539085895,-0.83907,0.99992,-0.7731260379747776,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999987,0.99992
-1.573,-0.83907,0.6064699829062089,0.99992,-0.83907,-31.482144900049438,0.9999999999999993,0.550087914639505,0.6064699829062089,-0.857233709159191,-0.83907,0.99992,-0.7731258605331347,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999987,0.99992
-1.572,-0.83907,0.606469982917076,0.99992,-0.83907,-31.482144900050066,0.9999999999999993,0.5501153802406122,0.606469982917076,-0.8572328591417554,-0.83907,0.99992,-0.7731256826625285,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999987,0.99992
-1.571,-0.83907,0.606469982927943,0.99992,-0.83907,-31.482144900050702,0.9999999999999993,0.5501428434857303,0.606469982927943,-0.8572320038234362,-0.83907,0.99992,-0.7731255043619315,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999986,0.99992
-1.57,-0.83907,0.6064699829388099,0.99992,-0.83907,-31.482144900051345,0.9999999999999993,0.5501703043750865,0.6064699829388099,-0.8572311431711823,-0.83907,0.99992,-0.7731253256303141,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999986,0.99992
-1.569,-0.83907,0.6064699829496769,0.99992,-0.83907,-31.482144900051996,0.9999999999999993,0.5501977629088799,0.6064699829496769,-0.8572302771517364,-0.83907,0.99992,-0.773125146466644,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999986,0.99992
