X,/vout Y,/vout (L=1.11e-04) (interpolated wth step=0.001) Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y
-1.903,-1.185891217,-1.188452326,-1.903,-0.037371583,-0.037371583,0,-1.903,-1.903,-1.185891217,-0.011090648
-1.902,-1.185168481,-1.187729248,-1.902,-0.037347906,-0.037347906,0,-1.902,-1.902,-1.185168481,-0.011087042
-1.901,-1.184445745,-1.18700617,-1.901,-0.03732423,-0.03732423,0,-1.901,-1.901,-1.184445745,-0.011083435
-1.9,-1.183723009,-1.186283093,-1.9,-0.037300554,-0.037300554,0,-1.9,-1.9,-1.183723009,-0.011079829
-1.899,-1.183000273,-1.185560015,-1.899,-0.037276878,-0.037276878,0,-1.899,-1.899,-1.183000273,-0.011076223
-1.898,-1.182277537,-1.184836937,-1.898,-0.037253201,-0.037253201,0,-1.898,-1.898,-1.182277537,-0.011072616
-1.897,-1.181554801,-1.184113859,-1.897,-0.037229525,-0.037229525,0,-1.897,-1.897,-1.181554801,-0.01106901
-1.896,-1.180832065,-1.183390782,-1.896,-0.037205849,-0.037205849,0,-1.896,-1.896,-1.180832065,-0.011065403
-1.895,-1.180109329,-1.182667704,-1.895,-0.037182172,-0.037182172,0,-1.895,-1.895,-1.180109329,-0.011061797
-1.894,-1.179386593,-1.181944626,-1.894,-0.037158496,-0.037158496,0,-1.894,-1.894,-1.179386593,-0.011058191
-1.893,-1.178663857,-1.181221548,-1.893,-0.03713482,-0.03713482,0,-1.893,-1.893,-1.178663857,-0.011054584
-1.892,-1.17794112,-1.180498471,-1.892,-0.037111143,-0.037111143,0,-1.892,-1.892,-1.17794112,-0.011050978
-1.891,-1.177218384,-1.179775393,-1.891,-0.037087467,-0.037087467,0,-1.891,-1.891,-1.177218384,-0.011047371
-1.89,-1.176495648,-1.179052315,-1.89,-0.037063791,-0.037063791,0,-1.89,-1.89,-1.176495648,-0.011043765
-1.889,-1.175772912,-1.178329237,-1.889,-0.037040115,-0.037040115,0,-1.889,-1.889,-1.175772912,-0.011040159
-1.888,-1.175050176,-1.17760616,-1.888,-0.037016438,-0.037016438,0,-1.888,-1.888,-1.175050176,-0.011036552
-1.887,-1.17432744,-1.176883082,-1.887,-0.036992762,-0.036992762,0,-1.887,-1.887,-1.17432744,-0.011032946
-1.886,-1.173604704,-1.176160004,-1.886,-0.036969086,-0.036969086,0,-1.886,-1.886,-1.173604704,-0.011029339
-1.885,-1.172881968,-1.175436926,-1.885,-0.036945409,-0.036945409,0,-1.885,-1.885,-1.172881968,-0.011025733
-1.884,-1.172159232,-1.174713849,-1.884,-0.036921733,-0.036921733,0,-1.884,-1.884,-1.172159232,-0.011022127
-1.883,-1.171436496,-1.173990771,-1.883,-0.036898057,-0.036898057,0,-1.883,-1.883,-1.171436496,-0.01101852
-1.882,-1.17071376,-1.173267693,-1.882,-0.03687438,-0.03687438,0,-1.882,-1.882,-1.17071376,-0.011014914
-1.881,-1.169991024,-1.172544615,-1.881,-0.036850704,-0.036850704,0,-1.881,-1.881,-1.169991024,-0.011011307
-1.88,-1.169268288,-1.171821538,-1.88,-0.036827028,-0.036827028,0,-1.88,-1.88,-1.169268288,-0.011007701
-1.879,-1.168545552,-1.17109846,-1.879,-0.036803351,-0.036803351,0,-1.879,-1.879,-1.168545552,-0.011004094
-1.878,-1.167822816,-1.170375382,-1.878,-0.036779675,-0.036779675,0,-1.878,-1.878,-1.167822816,-0.011000488
-1.877,-1.16710008,-1.169652304,-1.877,-0.036755999,-0.036755999,0,-1.877,-1.877,-1.16710008,-0.010996882
-1.876,-1.166377344,-1.168929227,-1.876,-0.036732323,-0.036732323,0,-1.876,-1.876,-1.166377344,-0.010993275
-1.875,-1.165654608,-1.168206149,-1.875,-0.036708646,-0.036708646,0,-1.875,-1.875,-1.165654608,-0.010989669
-1.874,-1.164931872,-1.167483071,-1.874,-0.03668497,-0.03668497,0,-1.874,-1.874,-1.164931872,-0.010986062
-1.873,-1.164209136,-1.166759993,-1.873,-0.036661294,-0.036661294,0,-1.873,-1.873,-1.164209136,-0.010982456
-1.872,-1.1634864,-1.166036916,-1.872,-0.036637617,-0.036637617,0,-1.872,-1.872,-1.1634864,-0.01097885
-1.871,-1.162763664,-1.165313838,-1.871,-0.036613941,-0.036613941,0,-1.871,-1.871,-1.162763664,-0.010975243
-1.87,-1.162040928,-1.16459076,-1.87,-0.036590265,-0.036590265,0,-1.87,-1.87,-1.162040928,-0.010971637
-1.869,-1.161318192,-1.163867682,-1.869,-0.036566588,-0.036566588,0,-1.869,-1.869,-1.161318192,-0.01096803
-1.868,-1.160595456,-1.163144605,-1.868,-0.036542912,-0.036542912,0,-1.868,-1.868,-1.160595456,-0.010964424
-1.867,-1.159872719,-1.162421527,-1.867,-0.036519236,-0.036519236,0,-1.867,-1.867,-1.159872719,-0.010960818
-1.866,-1.159149983,-1.161698449,-1.866,-0.036495559,-0.036495559,0,-1.866,-1.866,-1.159149983,-0.010957211
-1.865,-1.158427247,-1.160975371,-1.865,-0.036471883,-0.036471883,0,-1.865,-1.865,-1.158427247,-0.010953605
-1.864,-1.157704511,-1.160252293,-1.864,-0.036448207,-0.036448207,0,-1.864,-1.864,-1.157704511,-0.010949998
-1.863,-1.156981775,-1.159529216,-1.863,-0.036424531,-0.036424531,0,-1.863,-1.863,-1.156981775,-0.010946392
-1.862,-1.156259039,-1.158806138,-1.862,-0.036400854,-0.036400854,0,-1.862,-1.862,-1.156259039,-0.010942786
-1.861,-1.155536303,-1.15808306,-1.861,-0.036377178,-0.036377178,0,-1.861,-1.861,-1.155536303,-0.010939179
-1.86,-1.154813567,-1.157359982,-1.86,-0.036353502,-0.036353502,0,-1.86,-1.86,-1.154813567,-0.010935573
-1.859,-1.154090831,-1.156636905,-1.859,-0.036329825,-0.036329825,0,-1.859,-1.859,-1.154090831,-0.010931966
-1.858,-1.153368095,-1.155913827,-1.858,-0.036306149,-0.036306149,0,-1.858,-1.858,-1.153368095,-0.01092836
-1.857,-1.152645359,-1.155190749,-1.857,-0.036282473,-0.036282473,0,-1.857,-1.857,-1.152645359,-0.010924754
-1.856,-1.151922623,-1.154467671,-1.856,-0.036258796,-0.036258796,0,-1.856,-1.856,-1.151922623,-0.010921147
-1.855,-1.151199887,-1.153744594,-1.855,-0.03623512,-0.03623512,0,-1.855,-1.855,-1.151199887,-0.010917541
-1.854,-1.150477151,-1.153021516,-1.854,-0.036211444,-0.036211444,0,-1.854,-1.854,-1.150477151,-0.010913934
-1.853,-1.149754415,-1.152298438,-1.853,-0.036187768,-0.036187768,0,-1.853,-1.853,-1.149754415,-0.010910328
-1.852,-1.149031679,-1.15157536,-1.852,-0.036164091,-0.036164091,0,-1.852,-1.852,-1.149031679,-0.010906721
-1.851,-1.148308943,-1.150852283,-1.851,-0.036140415,-0.036140415,0,-1.851,-1.851,-1.148308943,-0.010903115
-1.85,-1.147586207,-1.150129205,-1.85,-0.036116739,-0.036116739,0,-1.85,-1.85,-1.147586207,-0.010899509
-1.849,-1.146863471,-1.149406127,-1.849,-0.036093062,-0.036093062,0,-1.849,-1.849,-1.146863471,-0.010895902
-1.848,-1.146140735,-1.148683049,-1.848,-0.036069386,-0.036069386,0,-1.848,-1.848,-1.146140735,-0.010892296
-1.847,-1.145417999,-1.147959972,-1.847,-0.03604571,-0.03604571,0,-1.847,-1.847,-1.145417999,-0.010888689
-1.846,-1.144695263,-1.147236894,-1.846,-0.036022033,-0.036022033,0,-1.846,-1.846,-1.144695263,-0.010885083
-1.845,-1.143972527,-1.146513816,-1.845,-0.035998357,-0.035998357,0,-1.845,-1.845,-1.143972527,-0.010881477
-1.844,-1.143249791,-1.145790738,-1.844,-0.035974681,-0.035974681,0,-1.844,-1.844,-1.143249791,-0.01087787
-1.843,-1.142527055,-1.145067661,-1.843,-0.035951004,-0.035951004,0,-1.843,-1.843,-1.142527055,-0.010874264
-1.842,-1.141804319,-1.144344583,-1.842,-0.035927328,-0.035927328,0,-1.842,-1.842,-1.141804319,-0.010870657
-1.841,-1.141081582,-1.143621505,-1.841,-0.035903652,-0.035903652,0,-1.841,-1.841,-1.141081582,-0.010867051
-1.84,-1.140358846,-1.142898427,-1.84,-0.035879976,-0.035879976,0,-1.84,-1.84,-1.140358846,-0.010863445
-1.839,-1.13963846,-1.142177716,-1.839,-0.035857116,-0.035857116,0,-1.839,-1.839,-1.13963846,-0.010859923
-1.838,-1.138918074,-1.141457005,-1.838,-0.035834257,-0.035834257,0,-1.838,-1.838,-1.138918074,-0.010856402
-1.837,-1.138197688,-1.140736294,-1.837,-0.035811397,-0.035811397,0,-1.837,-1.837,-1.138197688,-0.01085288
-1.836,-1.137477302,-1.140015582,-1.836,-0.035788538,-0.035788538,0,-1.836,-1.836,-1.137477302,-0.010849359
-1.835,-1.136756915,-1.139294871,-1.835,-0.035765679,-0.035765679,0,-1.835,-1.835,-1.136756915,-0.010845838
-1.834,-1.136036529,-1.13857416,-1.834,-0.035742819,-0.035742819,0,-1.834,-1.834,-1.136036529,-0.010842316
-1.833,-1.135316143,-1.137853449,-1.833,-0.03571996,-0.03571996,0,-1.833,-1.833,-1.135316143,-0.010838795
-1.832,-1.134595757,-1.137132738,-1.832,-0.035697101,-0.035697101,0,-1.832,-1.832,-1.134595757,-0.010835273
-1.831,-1.133875371,-1.136412026,-1.831,-0.035674241,-0.035674241,0,-1.831,-1.831,-1.133875371,-0.010831752
-1.83,-1.133154984,-1.135691315,-1.83,-0.035651382,-0.035651382,0,-1.83,-1.83,-1.133154984,-0.01082823
-1.829,-1.132434598,-1.134970604,-1.829,-0.035628522,-0.035628522,0,-1.829,-1.829,-1.132434598,-0.010824709
-1.828,-1.131714212,-1.134249893,-1.828,-0.035605663,-0.035605663,0,-1.828,-1.828,-1.131714212,-0.010821188
-1.827,-1.130993826,-1.133529181,-1.827,-0.035582804,-0.035582804,0,-1.827,-1.827,-1.130993826,-0.010817666
-1.826,-1.13027344,-1.13280847,-1.826,-0.035559944,-0.035559944,0,-1.826,-1.826,-1.13027344,-0.010814145
-1.825,-1.129553053,-1.132087759,-1.825,-0.035537085,-0.035537085,0,-1.825,-1.825,-1.129553053,-0.010810623
-1.824,-1.128832667,-1.131367048,-1.824,-0.035514226,-0.035514226,0,-1.824,-1.824,-1.128832667,-0.010807102
-1.823,-1.128112281,-1.130646336,-1.823,-0.035491366,-0.035491366,0,-1.823,-1.823,-1.128112281,-0.010803581
-1.822,-1.127391895,-1.129925625,-1.822,-0.035468507,-0.035468507,0,-1.822,-1.822,-1.127391895,-0.010800059
-1.821,-1.126671509,-1.129204914,-1.821,-0.035445648,-0.035445648,0,-1.821,-1.821,-1.126671509,-0.010796538
-1.82,-1.125951122,-1.128484203,-1.82,-0.035422788,-0.035422788,0,-1.82,-1.82,-1.125951122,-0.010793016
-1.819,-1.125230736,-1.127763492,-1.819,-0.035399929,-0.035399929,0,-1.819,-1.819,-1.125230736,-0.010789495
-1.818,-1.12451035,-1.12704278,-1.818,-0.035377069,-0.035377069,0,-1.818,-1.818,-1.12451035,-0.010785973
-1.817,-1.123789964,-1.126322069,-1.817,-0.03535421,-0.03535421,0,-1.817,-1.817,-1.123789964,-0.010782452
-1.816,-1.123069578,-1.125601358,-1.816,-0.035331351,-0.035331351,0,-1.816,-1.816,-1.123069578,-0.010778931
-1.815,-1.122349192,-1.124880647,-1.815,-0.035308491,-0.035308491,0,-1.815,-1.815,-1.122349192,-0.010775409
-1.814,-1.121628805,-1.124159935,-1.814,-0.035285632,-0.035285632,0,-1.814,-1.814,-1.121628805,-0.010771888
-1.813,-1.120908419,-1.123439224,-1.813,-0.035262773,-0.035262773,0,-1.813,-1.813,-1.120908419,-0.010768366
-1.812,-1.120188033,-1.122718513,-1.812,-0.035239913,-0.035239913,0,-1.812,-1.812,-1.120188033,-0.010764845
-1.811,-1.119467647,-1.121997802,-1.811,-0.035217054,-0.035217054,0,-1.811,-1.811,-1.119467647,-0.010761324
-1.81,-1.118747261,-1.12127709,-1.81,-0.035194194,-0.035194194,0,-1.81,-1.81,-1.118747261,-0.010757802
-1.809,-1.118026874,-1.120556379,-1.809,-0.035171335,-0.035171335,0,-1.809,-1.809,-1.118026874,-0.010754281
-1.808,-1.117306488,-1.119835668,-1.808,-0.035148476,-0.035148476,0,-1.808,-1.808,-1.117306488,-0.010750759
-1.807,-1.116586102,-1.119114957,-1.807,-0.035125616,-0.035125616,0,-1.807,-1.807,-1.116586102,-0.010747238
-1.806,-1.115865716,-1.118394245,-1.806,-0.035102757,-0.035102757,0,-1.806,-1.806,-1.115865716,-0.010743716
-1.805,-1.11514533,-1.117673534,-1.805,-0.035079898,-0.035079898,0,-1.805,-1.805,-1.11514533,-0.010740195
-1.804,-1.114424943,-1.116952823,-1.804,-0.035057038,-0.035057038,0,-1.804,-1.804,-1.114424943,-0.010736674
-1.803,-1.113704557,-1.116232112,-1.803,-0.035034179,-0.035034179,0,-1.803,-1.803,-1.113704557,-0.010733152
-1.802,-1.112984171,-1.115511401,-1.802,-0.035011319,-0.035011319,0,-1.802,-1.802,-1.112984171,-0.010729631
-1.801,-1.112263785,-1.114790689,-1.801,-0.03498846,-0.03498846,0,-1.801,-1.801,-1.112263785,-0.010726109
-1.8,-1.111543399,-1.114069978,-1.8,-0.034965601,-0.034965601,0,-1.8,-1.8,-1.111543399,-0.010722588
-1.799,-1.110823012,-1.113349267,-1.799,-0.034942741,-0.034942741,0,-1.799,-1.799,-1.110823012,-0.010719067
-1.798,-1.110102626,-1.112628556,-1.798,-0.034919882,-0.034919882,0,-1.798,-1.798,-1.110102626,-0.010715545
-1.797,-1.10938224,-1.111907844,-1.797,-0.034897023,-0.034897023,0,-1.797,-1.797,-1.10938224,-0.010712024
-1.796,-1.108661854,-1.111187133,-1.796,-0.034874163,-0.034874163,0,-1.796,-1.796,-1.108661854,-0.010708502
-1.795,-1.107941468,-1.110466422,-1.795,-0.034851304,-0.034851304,0,-1.795,-1.795,-1.107941468,-0.010704981
-1.794,-1.107221081,-1.109745711,-1.794,-0.034828444,-0.034828444,0,-1.794,-1.794,-1.107221081,-0.010701459
-1.793,-1.106500695,-1.109024999,-1.793,-0.034805585,-0.034805585,0,-1.793,-1.793,-1.106500695,-0.010697938
-1.792,-1.105780309,-1.108304288,-1.792,-0.034782726,-0.034782726,0,-1.792,-1.792,-1.105780309,-0.010694417
-1.791,-1.105059923,-1.107583577,-1.791,-0.034759866,-0.034759866,0,-1.791,-1.791,-1.105059923,-0.010690895
-1.79,-1.104339537,-1.106862866,-1.79,-0.034737007,-0.034737007,0,-1.79,-1.79,-1.104339537,-0.010687374
-1.789,-1.10361915,-1.106142155,-1.789,-0.034714148,-0.034714148,0,-1.789,-1.789,-1.10361915,-0.010683852
-1.788,-1.102898764,-1.105421443,-1.788,-0.034691288,-0.034691288,0,-1.788,-1.788,-1.102898764,-0.010680331
-1.787,-1.102178378,-1.104700732,-1.787,-0.034668429,-0.034668429,0,-1.787,-1.787,-1.102178378,-0.01067681
