/Vout_robust X,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y
-1.961,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.96,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.959,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.958,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.957,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.956,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.955,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.954,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.953,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.952,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.951,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.95,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.949,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.948,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.947,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.946,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.945,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.944,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.943,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.942,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.941,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.94,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.939,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
