X,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y
-1.905,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.904,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.903,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.902,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.901,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.9,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.899,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.898,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.897,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.896,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.895,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.894,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.893,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.892,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.891,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.89,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.889,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.888,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.887,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.886,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.885,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.884,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.883,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.882,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.881,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.88,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.879,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.878,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.877,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.876,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.875,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.874,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.873,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.872,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.871,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.87,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.869,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.868,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.867,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.866,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.865,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.864,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.863,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.862,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.861,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.86,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.859,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.858,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.857,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.856,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.855,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.854,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.853,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.852,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.851,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.85,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.849,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.848,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.847,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.846,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.845,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.844,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.843,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.842,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.841,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.84,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.839,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.838,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.837,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.836,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.835,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.834,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.833,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.832,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.831,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.83,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.829,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.828,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.827,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.826,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.825,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.824,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.823,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.822,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
