X,robust_vout,R-open_(Vt shift),R_Short,G-D short,G-S short,D-S short
-1.762,6.67E-16,3.34E-12,3.34E-21,6.67E-16,-1.762,1
-1.761,6.74E-16,3.37E-12,3.37E-21,6.74E-16,-1.761,1
-1.76,6.80E-16,3.40E-12,3.40E-21,6.80E-16,-1.76,1
-1.759,7.10E-16,3.55E-12,3.55E-21,7.10E-16,-1.759,1
-1.758,7.39E-16,3.69E-12,3.69E-21,7.39E-16,-1.758,1
-1.757,7.68E-16,3.84E-12,3.84E-21,7.68E-16,-1.757,1
-1.756,7.97E-16,3.99E-12,3.99E-21,7.97E-16,-1.756,1
-1.755,8.26E-16,4.13E-12,4.13E-21,8.26E-16,-1.755,1
-1.754,8.55E-16,4.28E-12,4.28E-21,8.55E-16,-1.754,1
-1.753,8.85E-16,4.42E-12,4.42E-21,8.85E-16,-1.753,1
-1.752,9.14E-16,4.57E-12,4.57E-21,9.14E-16,-1.752,1
-1.751,9.43E-16,4.72E-12,4.72E-21,9.43E-16,-1.751,1
-1.75,9.72E-16,4.86E-12,4.86E-21,9.72E-16,-1.75,1
-1.749,1.00E-15,5.01E-12,5.01E-21,1.00E-15,-1.749,1
-1.748,1.03E-15,5.15E-12,5.15E-21,1.03E-15,-1.748,1
-1.747,1.06E-15,5.30E-12,5.30E-21,1.06E-15,-1.747,1
-1.746,1.09E-15,5.45E-12,5.45E-21,1.09E-15,-1.746,1
-1.745,1.12E-15,5.59E-12,5.59E-21,1.12E-15,-1.745,1
-1.744,1.15E-15,5.74E-12,5.74E-21,1.15E-15,-1.744,1
-1.743,1.18E-15,5.88E-12,5.88E-21,1.18E-15,-1.743,1
-1.742,1.21E-15,6.03E-12,6.03E-21,1.21E-15,-1.742,1
-1.741,1.24E-15,6.18E-12,6.18E-21,1.24E-15,-1.741,1
-1.74,1.26E-15,6.32E-12,6.32E-21,1.26E-15,-1.74,1
-1.739,1.29E-15,6.47E-12,6.47E-21,1.29E-15,-1.739,1
-1.738,1.32E-15,6.61E-12,6.61E-21,1.32E-15,-1.738,1
-1.737,1.35E-15,6.76E-12,6.76E-21,1.35E-15,-1.737,1
-1.736,1.38E-15,6.90E-12,6.90E-21,1.38E-15,-1.736,1
-1.735,1.41E-15,7.05E-12,7.05E-21,1.41E-15,-1.735,1
-1.734,1.44E-15,7.20E-12,7.20E-21,1.44E-15,-1.734,1
-1.733,1.47E-15,7.34E-12,7.34E-21,1.47E-15,-1.733,1
-1.732,1.50E-15,7.49E-12,7.49E-21,1.50E-15,-1.732,1
-1.731,1.53E-15,7.63E-12,7.63E-21,1.53E-15,-1.731,1
-1.73,1.56E-15,7.78E-12,7.78E-21,1.56E-15,-1.73,1
-1.729,1.59E-15,7.93E-12,7.93E-21,1.59E-15,-1.729,1
-1.728,1.61E-15,8.07E-12,8.07E-21,1.61E-15,-1.728,1
-1.727,1.64E-15,8.22E-12,8.22E-21,1.64E-15,-1.727,1
-1.726,1.67E-15,8.36E-12,8.36E-21,1.67E-15,-1.726,1
-1.725,1.70E-15,8.51E-12,8.51E-21,1.70E-15,-1.725,1
-1.724,1.73E-15,8.66E-12,8.66E-21,1.73E-15,-1.724,1
-1.723,1.76E-15,8.80E-12,8.80E-21,1.76E-15,-1.723,1
-1.722,1.79E-15,8.95E-12,8.95E-21,1.79E-15,-1.722,1
-1.721,1.82E-15,9.09E-12,9.09E-21,1.82E-15,-1.721,1
-1.72,1.85E-15,9.24E-12,9.24E-21,1.85E-15,-1.72,1
-1.719,1.88E-15,9.39E-12,9.39E-21,1.88E-15,-1.719,1
-1.718,1.91E-15,9.53E-12,9.53E-21,1.91E-15,-1.718,1
-1.717,1.94E-15,9.68E-12,9.68E-21,1.94E-15,-1.717,1
-1.716,1.96E-15,9.82E-12,9.82E-21,1.96E-15,-1.716,1
-1.715,1.99E-15,9.97E-12,9.97E-21,1.99E-15,-1.715,1
