X,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y
-1.937,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.936,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.935,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.934,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.933,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.932,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.931,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.93,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.929,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.928,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.927,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.926,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.925,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.924,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.923,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.922,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.921,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.92,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
