X,R1_short,R1_open,R1_redundant_short,R1_redundant_open,R2_short,R2_open,R2_redundant_short,R2_redundant_open,M1_open_D,M1_G-S_short,M1_G-D_short,M1_D-S_short,M2_open_D,M2_G-S_short,M2_G-D_short,M2_D-S_short,M1_redundant_open,M1_redundant_G-S_short,M1_redundant_G-D_short,M1_redundant_D-S_short,M2_redundant_open,M2_redundant_G-S,M2_redundant_G-D,M2_redundant_D-S,M1_switch_G-D,M1_switch_D-S,M1_switch_open&M1 is faulty,M2_switch_G-D,M2_switch_D-S,M2_switch_open&M2 is faulty,M_R1_switch_G-D,M_R1_switch_D-S,M_R1_switch_open&M_R1 is faulty,M_R2_switch_G-D,M_R2_witch_D-S,M_R2_switch_open&M_R2_ is faulty
-0.256,-0.899454324652011,-0.910357121,-0.12309808380639942,1.0000000000000002,-0.7407976495549546,-0.9550070534027423,-0.9112184915249968,-0.8526979220641198,-0.9300358065606735,-0.13786983440332706,-0.8022837597999262,-0.9951173482362781,-1.014186143499499,-1.1426152770289524,-0.1444875723086131,-1.0600578709737694,-0.9531345380014683,-0.18502130323424737,-1.5345591736993431,-1.321362872255437,-1.6182622998838139,-1.482061393,-1.8458188351344202,-1.565814248,-0.9550070534027423,-0.9112184915249968,-0.8526979220641198,-0.9300358065606735,-0.13786983440332706,-0.8022837597999262,-0.9951173482362781,-1.014186143499499,-1.1426152770289524,-1.6182622998838139,-1.482061393,-1.6182622998838139
-0.2549999999999999,-0.8994323681362726,-0.910357121,-0.12309793589554663,1.0000000000000002,-0.7397485056970275,-0.9550000824840538,-0.9112184791565893,-0.8526609031390973,-0.930013103807102,-0.13786966875685275,-0.801147533898517,-0.9951100845498329,-1.0141861297347936,-1.1425656720247792,-0.1444873987214017,-1.0600501324811211,-0.9531345250643389,-0.1850210809472851,-1.534521714396081,-1.3213046951559937,-1.6182227970871166,-1.482061393,-1.8458188100807367,-1.565814248,-0.9550000824840538,-0.9112184791565893,-0.8526609031390973,-0.930013103807102,-0.13786966875685275,-0.801147533898517,-0.9951100845498329,-1.0141861297347936,-1.1425656720247792,-1.6182227970871166,-1.482061393,-1.6182227970871166
-0.254,-0.8994103777711122,-0.910357121,-0.12309778433333562,1.0000000000000002,-0.7386527981615211,-0.9549930295595987,-0.9112184664755422,-0.8526237849557863,-0.9299903660534024,-0.1378694990211618,-0.7999608794589088,-0.9951027354134858,-1.0141861156221514,-1.1425159340148896,-0.14448722084892063,-1.0600423029544632,-0.9531345118001935,-0.18502085317283024,-1.5344841973425458,-1.3212463639079588,-1.6181832333902015,-1.482061393,-1.8458187843937628,-1.565814248,-0.9549930295595987,-0.9112184664755422,-0.8526237849557863,-0.9299903660534024,-0.1378694990211618,-0.7999608794589088,-0.9951027354134858,-1.0141861156221514,-1.1425159340148896,-1.6181832333902015,-1.482061393,-1.6181832333902015
-0.2529999999999999,-0.8993883535109383,-0.910357121,-0.12309762902962929,1.0000000000000002,-0.7375085237887621,-0.9549858936652832,-0.9112184534739526,-0.8525865672700623,-0.9299675932524325,-0.1378693250953072,-0.7987216270588857,-0.9950952998226518,-1.0141861011527775,-1.1424660626721557,-0.14448703858538225,-1.060034381323579,-0.9531344982007663,-0.18502061977541728,-1.5344466224609525,-1.3211878781373432,-1.6181436087110412,-1.482061393,-1.845818758057491,-1.565814248,-0.9549858936652832,-0.9112184534739526,-0.8525865672700623,-0.9299675932524325,-0.1378693250953072,-0.7987216270588857,-0.9950952998226518,-1.0141861011527775,-1.1424660626721557,-1.6181436087110412,-1.482061393,-1.6181436087110412
-0.252,-0.8993662953101194,-0.910357121,-0.12309746989206538,1.0000000000000002,-0.736313599072266,-0.954978673825693,-0.9112184401437182,-0.8525492498373238,-0.9299447853570092,-0.13786914687585045,-0.7974275202607678,-0.9950877767609501,-1.0141860863176546,-1.1424160576688107,-0.14448685182238807,-1.0600263665056864,-0.9531344842575822,-0.1850203806162366,-1.5344089896734483,-1.32112923746944,-1.6181039229675371,-1.482061393,-1.8458187310555092,-1.565814248,-0.954978673825693,-0.9112184401437182,-0.8525492498373238,-0.9299447853570092,-0.13786914687585045,-0.7974275202607678,-0.9950877767609501,-1.0141860863176546,-1.1424160576688107,-1.6181039229675371,-1.482061393,-1.6181039229675371
-0.2509999999999999,-0.8993442031229844,-0.910357121,-0.12309730682600184,1.0000000000000002,-0.7350658574752607,-0.954971369053962,-0.9112184264765318,-0.8525118324124914,-0.9299219423199082,-0.137868964256799,-0.7960762127052194,-0.9950801652000675,-1.0141860711075372,-1.1423659186764472,-0.14448666044886327,-1.0600182574052905,-0.9531344699619517,-0.18502013555305197,-1.534371298902112,-1.3210704415288264,-1.6180641760775192,-1.482061393,-1.8458187033709894,-1.565814248,-0.954971369053962,-0.9112184264765318,-0.8525118324124914,-0.9299219423199082,-0.137868964256799,-0.7960762127052194,-0.9950801652000675,-1.0141860711075372,-1.1423659186764472,-1.6180641760775192,-1.482061393,-1.6180641760775192
-0.25,-0.8993220769038224,-0.910357121,-0.12309713973445979,1.0000000000000002,-0.7337630467092525,-0.9549639783516376,-0.9112184124638762,-0.8524743147500076,-0.9298990640938642,-0.1378687771295442,-0.7946652651639493,-0.9950724640996174,-1.014186055512947,-1.1423156453660182,-0.14448646435099133,-1.0600100529140355,-0.9531344553049663,-0.18501988444011608,-1.5343335500689557,-1.3210114899393604,-1.6180243679587456,-1.482061393,-1.8458186749866796,-1.565814248,-0.9549639783516376,-0.9112184124638762,-0.8524743147500076,-0.9298990640938642,-0.1378687771295442,-0.7946652651639493,-0.9950724640996174,-1.014186055512947,-1.1423156453660182,-1.6180243679587456,-1.482061393,-1.6180243679587456
-0.2489999999999999,-0.8992999166068828,-0.910357121,-0.12309696851806728,1.0000000000000002,-0.732402825979774,-0.9549565007085454,-0.9112183980970189,-0.8524366966038374,-0.929876150631571,-0.13786858538279617,-0.7931921425568684,-0.995064672406999,-1.0141860395241649,-1.1422652374078353,-0.1444862634121461,-1.060001751910553,-0.9531344402774916,-0.1850196271280834,-1.5342957430959225,-1.3209523823241835,-1.6179844985289034,-1.482061393,-1.8458186458848904,-1.565814248,-0.9549565007085454,-0.9112183980970189,-0.8524366966038374,-0.929876150631571,-0.13786858538279617,-0.7931921425568684,-0.995064672406999,-1.0141860395241649,-1.1422652374078353,-1.6179844985289034,-1.482061393,-1.6179844985289034
-0.248,-0.8992777221863756,-0.910357121,-0.12309679307499855,1.0000000000000002,-0.7309827632052105,-0.9549489351026519,-0.9112183833670064,-0.8523989777274673,-0.9298532018856811,-0.1378683889025179,-0.791654210940094,-0.9950567890572547,-1.014186023131227,-1.1422146944715699,-0.14448605751282217,-1.0599933532603105,-0.9531344248701628,-0.18501936346392223,-1.5342578779048888,-1.3208931183057189,-1.6179445677056083,-1.482061393,-1.8458186160474863,-1.565814248,-0.9549489351026519,-0.9112183833670064,-0.8523989777274673,-0.9298532018856811,-0.1378683889025179,-0.791654210940094,-0.9950567890572547,-1.014186023131227,-1.1422146944715699,-1.6179445677056083,-1.482061393,-1.6179445677056083
-0.2469999999999999,-0.899255493596471,-0.910357121,-0.1230966133009147,1.0000000000000002,-0.7295003322153927,-0.9549412804999253,-0.9112183682646593,-0.8523611578739053,-0.9298302178088063,-0.13786818757185731,-0.79004873447204,-0.9950488129729241,-1.0141860063239172,-1.1421640162262519,-0.1444858465305644,-1.0599848558154574,-0.9531344090733782,-0.1850190932908229,-1.5342199544176633,-1.320833697505671,-1.6179045754064048,-1.482061393,-1.8458185854558729,-1.565814248,-0.9549412804999253,-0.9112183682646593,-0.8523611578739053,-0.9298302178088063,-0.13786818757185731,-0.79004873447204,-0.9950488129729241,-1.0141860063239172,-1.1421640162262519,-1.6179045754064048,-1.482061393,-1.6179045754064048
