X,M1_G-D_short,M1_G-S_short,M2_G-D_short,M2_G-S_short,R1_open,R1_short,R2_short,M1_open,M2_open,M1_D-S_short,M2_D-S_short,R2_open
-1.464,0.9991377375724588,-0.9069388675468935,-0.6051628167311704,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.463,0.9991377374725893,-0.9069402537498912,-0.6051630157368657,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.462,0.9991377373701472,-0.9069416399528966,-0.6051632153642837,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4609999999999999,0.9991377372650665,-0.9069430261559096,-0.6051634156153611,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.46,0.9991377371572789,-0.9069444123589304,-0.6051636164920401,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.459,0.9991377370467149,-0.9069457985619589,-0.6051638179962692,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.458,0.9991377369333031,-0.9069471847649951,-0.6051640201300026,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4569999999999999,0.9991377368169698,-0.9069485709680389,-0.6051642228952008,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.456,0.9991377366976402,-0.9069499571710905,-0.6051644262938305,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.455,0.9991377365752367,-0.9069513433741496,-0.6051646303278643,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.454,0.9991377364496804,-0.9069527295772165,-0.6051648349992806,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4529999999999998,0.9991377363208899,-0.906954115780291,-0.6051650403100647,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.452,0.9991377361887818,-0.9069555019833732,-0.6051652462622072,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.451,0.999137736053271,-0.9069568881864629,-0.6051654528577054,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.45,0.9991377359142697,-0.9069582743895603,-0.6051656600985627,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4489999999999998,0.999137735771688,-0.9069596605926654,-0.6051658679867884,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.448,0.9991377356254334,-0.906961046795778,-0.6051660765243985,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
