X,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,G-D short(output_correct),G-S short,D-S short,Transistor-open,R4_short
-1.382154461384654,-0.02097695349549477,-0.8191635105393374,-0.8544339161765706,-0.010208553796283746,-0.010208553796283746,-0.010208553796283746,-0.010208553796283746,-0.020976816921531444,-0.8544184296180442,-1.3820000227213143,-1.3820000227213143,-1.3820000227213143
-1.3811547113221694,-0.020969334550753494,-0.8184683670067846,-0.8537218201026036,-0.01020876798198828,-0.01020876798198828,-0.01020876798198828,-0.01020876798198828,-0.020969198069842265,-0.8537064074822134,-1.3810000223196317,-1.3810000223196317,-1.3810000223196317
-1.380154961259685,-0.020961715572628235,-0.8177732240527567,-0.8530097255249212,-0.01020898213537962,-0.01020898213537962,-0.01020898213537962,-0.01020898213537962,-0.020961579184769236,-0.8529943868332168,-1.3800000219179496,-1.3800000219179496,-1.3800000219179496
-1.3791552111972005,-0.020954096560863743,-0.8170780816816979,-0.8522976324536436,-0.010209196256209453,-0.010209196256209453,-0.010209196256209453,-0.010209196256209453,-0.020953960266057073,-0.8522823676811188,-1.379000021516267,-1.379000021516267,-1.379000021516267
-1.3781554611347162,-0.020946477515202802,-0.8163829398980874,-0.8515855408989607,-0.010209410344227541,-0.010209410344227541,-0.010209410344227541,-0.010209410344227541,-0.020946341313448552,-0.8515703500360524,-1.3780000211145849,-1.3780000211145849,-1.3780000211145849
-1.377155711072232,-0.020938858435386183,-0.8156877987064384,-0.8508734508711294,-0.010209624399181775,-0.010209624399181775,-0.010209624399181775,-0.010209624399181775,-0.020938722326684485,-0.8508583339082189,-1.3770000207129025,-1.3770000207129025,-1.3770000207129025
-1.3761559610097476,-0.020931239321152727,-0.8149926581112984,-0.8501613623804772,-0.010209838420818086,-0.010209838420818086,-0.010209838420818086,-0.010209838420818086,-0.0209311033055037,-0.8501463193078885,-1.3760000203112206,-1.3760000203112206,-1.3760000203112206
-1.3751562109472633,-0.020923620172239282,-0.8142975181172504,-0.8494492754374009,-0.010210052408880427,-0.010210052408880427,-0.010210052408880427,-0.010210052408880427,-0.02092348424964302,-0.8494343062454011,-1.3750000199095382,-1.3750000199095382,-1.3750000199095382
-1.3741564608847787,-0.020916000988380652,-0.8136023787289124,-0.8487371900523673,-0.010210266363110853,-0.010210266363110853,-0.010210266363110853,-0.010210266363110853,-0.020915865158837282,-0.848722294731166,-1.3740000195078559,-1.3740000195078559,-1.3740000195078559
-1.3731567108222944,-0.02090838176930962,-0.8129072399509379,-0.8480251062359144,-0.010210480283249342,-0.010210480283249342,-0.010210480283249342,-0.010210480283249342,-0.020908246032819246,-0.8480102847756639,-1.3730000191061738,-1.3730000191061738,-1.3730000191061738
