X,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/VoutY,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/VoutY,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/VoutY,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y
-1.974,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.973,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.972,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.971,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.97,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.969,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.968,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.967,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.966,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.965,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.964,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.963,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.962,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.961,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.96,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.959,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.958,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
